"POINT_ID","coarse","clay","silt","sand","pH_in_H2O","pH_in_CaCl","OC","CaCO3","N","P","K","CEC","Notes","sample_ID","GPS_LAT","GPS_LONG","X","Y"
"47162650.00","25",13,30,57,4.77,4.34,34,0,3,14,49.4,7.8,NA,"53",46.83933,15.17811,15.17811,46.83933
"47142646.00","12",7,45,48,4,3.51,91.1,2,5.3,20.6,87.9,7.2,NA,"100",46.80467,15.14844,15.14844,46.80467
"47122882.00","19",9,26,64,5.75,5.2,11.3,0,1.3,28.1,59.6,10.3,NA,"351",48.92362,15.33921,15.33921,48.92362
"47122828.00","6",16,39,46,6.49,5.74,15.9,0,1.7,13.2,85.7,10.2,NA,"384",48.43902,15.28752,15.28752,48.43902
"47122726.00","18",17,57,26,7.22,6.93,50.1,114,4.4,31,85.7,21.4,NA,"296",47.52405,15.19329,15.19329,47.52405
"47102790.00","7",25,56,19,6.25,5.41,30.5,3,2.8,11.3,100,17.9,NA,"380",48.09968,15.22511,15.22511,48.09968
"47082858.00","11",14,41,45,6.87,6.35,13.3,1,1.5,25.5,112.4,9,NA,"349",48.71081,15.26222,15.26222,48.71081
"47082776.00","9",36,53,11,4.75,4.05,20.6,0,2,0,56.6,10.9,NA,"238",47.9753,15.1855,15.1855,47.9753
"47062836.00","8",18,35,47,5.89,5.53,33,3,2.9,12.3,122.5,15.6,NA,"154",48.51494,15.2141,15.2141,48.51494
"47042874.00","13",18,46,36,5.6,4.59,17.6,0,1.8,18.8,90.3,7.7,NA,"350",48.85696,15.2229,15.2229,48.85696
"47042852.00","4",25,47,28,5.14,4.49,35,1,3.5,23.1,126.2,11,NA,"347",48.65971,15.20201,15.20201,48.65971
"47042820.00","8",13,26,61,5.72,5.58,21,2,1.9,21.3,218.8,8.2,NA,"173",48.37249,15.17243,15.17243,48.37249
"47042788.00","4",45,42,13,7.57,6.95,64.6,15,4.9,10.9,161.4,49.5,NA,"237",48.08554,15.14295,15.14295,48.08554
"47042712.00","18",21,51,28,6.24,5.96,63.8,0,6.9,50,358.8,26.2,NA,"283",47.40323,15.07521,15.07521,47.40323
"47042684.00","33",18,39,42,5.83,5.54,35.4,0,4.1,11.4,280.4,14.8,NA,"309",47.15207,15.05053,15.05053,47.15207
"47022864.00","12",17,25,58,6.73,6.38,18.9,3,1.8,56.5,186,10.9,NA,"348",48.7686,15.18612,15.18612,48.7686
"47022848.00","22",13,31,56,6.56,6.1,23.8,0,2.2,40.3,366,11.2,NA,"153",48.62579,15.17151,15.17151,48.62579
"47022702.00","4",11,47,42,4.19,3.83,34.5,0,1.9,12.4,75.6,12.6,NA,"286",47.31496,15.0398,15.0398,47.31496
"47002816.00","18",16,25,59,4.39,3.71,55.7,0,2.6,0,70.6,8.8,NA,"383",48.33929,15.11484,15.11484,48.33929
